1	A1BG	uc002qsd.3	uc002qsf.1
100	ADA	uc002xmj.2	uc010ggt.2
10003	NAALAD2	uc001pdf.3	uc009yvx.2
100037417	DDTL	uc011aji.1	uc002zyy.3
10004	NAALADL1	uc001ocn.2	uc010rnw.1
10006	ABI1	uc001isz.2	uc001ita.2
10006	ABI1	uc001isz.2	uc010qdg.1
10006	ABI1	uc001ita.2	uc001isz.2
10006	ABI1	uc001ita.2	uc010qdg.1
10007	GNPDA1	uc010jgh.2	uc003lmh.3
1001	CDH3	uc002ewf.2	uc010vli.1
100101467	ZNF397OS	uc002kyl.2	uc002kyo.1
10011	SRA1	uc003lfz.2	uc003lga.2
100128327	BET3L	uc003pwx.2	uc011ebh.1
100129583	FAM47E	uc003hjx.2	uc003hjv.2
10013	HDAC6	uc004dks.1	uc004dkx.1
100130015	LOC100130015	uc002fql.2	uc010cjd.2
100130086	HSFX2	uc004fdl.2	uc010nta.2
100130522	LOC100130522	uc010xfo.1	uc010xfn.1
100130717	CECR4	uc011agh.1	uc002zmi.3
100130872	LOC100130872	uc003gcp.2	uc003gcr.1
100130958	SYCE1L	uc002ffb.3	uc010vnh.1
100131187	TSTD1	uc001fxh.3	uc009wtw.2
100131827	ZNF717	uc011bgi.1	uc003dpw.3
100132247	LOC100132247	uc010bxk.2	uc010bxi.2
100132288	LOC100132288	uc002zka.1	uc010gqn.1
100133669	LOC100133669	uc011ljz.1	uc003yxl.3
100133957	LOC100133957	uc011mls.1	uc011mlt.1
100134938	UPK3BL	uc010lij.1	uc003uzy.2
10014	HDAC5	uc002iff.1	uc002ifg.1
10015	PDCD6IP	uc003cfx.2	uc011axw.1
10018	BCL2L11	uc002tgv.1	uc010fke.1
10020	GNE	uc010mlh.2	uc010mli.2
10025	MED16	uc002lqe.2	uc010drw.1
100268168	LOC100268168	uc011dfc.1	uc011dfb.1
100271715	ARHGEF33	uc002rri.2	uc010ynq.1
100289635	ZNF605	uc001ulk.1	uc001ulj.2
100302736	TMED7-TICAM2	uc003krd.2	uc003kre.2
10038	PARP2	uc001vxd.2	uc001vxc.2
10039	PARP3	uc003dbz.2	uc003dby.2
1004	CDH6	uc003jhe.1	uc003jhd.1
10040	TOM1L1	uc002iud.2	uc010dbz.2
10040	TOM1L1	uc010dca.1	uc010wnc.1
10042	HMGXB4	uc003anl.2	uc003ank.2
10043	TOM1	uc003ann.2	uc011aml.1
10044	SH2D3C	uc004bsa.2	uc011mak.1
10045	SH2D3A	uc002mft.2	uc010xjg.1
