Domain1	Domain2	Source
PF02895	PF02895	iPfam
PF03417	PF03417	iPfam
PF00782	PF00782	iPfam
PF03599	PF03599	iPfam
PF01826	PF01826	iPfam
PF05889	PF05889	iPfam
PF03463	PF03463	iPfam
PF05240	PF05240	iPfam
PF13304	PF13304	iPfam
PF01176	PF01176	iPfam
PF08329	PF08329	iPfam
PF01359	PF01359	iPfam
PF02134	PF02134	iPfam
PF06456	PF06456	iPfam
PF13520	PF13520	iPfam
PF05292	PF05292	iPfam
PF02233	PF02233	iPfam
PF02728	PF02728	iPfam
PF06439	PF06439	iPfam
PF13433	PF13433	iPfam
PF00600	PF00600	iPfam
PF00930	PF00930	iPfam
PF00133	PF00133	iPfam
PF09274	PF09274	iPfam
PF03930	PF03930	iPfam
PF07275	PF07275	iPfam
PF04608	PF04608	iPfam
PF01419	PF01419	iPfam
PF00005	PF00005	iPfam
PF08448	PF08448	iPfam
PF09171	PF09171	iPfam
PF03358	PF03358	iPfam
PF08208	PF08208	iPfam
PF07826	PF07826	iPfam
PF06689	PF06689	iPfam
PF13298	PF13298	iPfam
PF11717	PF11717	iPfam
PF04055	PF04055	iPfam
PF11838	PF11838	iPfam
PF07952	PF07952	iPfam
PF06628	PF06628	iPfam
PF09455	PF09455	iPfam
PF13639	PF13639	iPfam
PF03974	PF03974	iPfam
PF01544	PF01544	iPfam
PF08530	PF08530	iPfam
PF02163	PF02163	iPfam
PF06769	PF06769	iPfam
PF02876	PF02876	iPfam
PF05130	PF05130	iPfam
PF11623	PF11623	iPfam
PF07201	PF07201	iPfam
PF04190	PF04190	iPfam
PF03129	PF03129	iPfam
PF13495	PF13495	iPfam
PF00014	PF00014	iPfam
PF03795	PF03795	iPfam
PF02065	PF02065	iPfam
PF13242	PF13242	iPfam
PF09518	PF09518	iPfam
PF00723	PF00723	iPfam
PF02925	PF02925	iPfam
PF02685	PF02685	iPfam
PF01920	PF01920	iPfam
PF07722	PF07722	iPfam
PF09208	PF09208	iPfam
PF02709	PF02709	iPfam
PF08969	PF08969	iPfam
PF03443	PF03443	iPfam
PF09212	PF09212	iPfam
PF00480	PF00480	iPfam
PF00018	PF00018	iPfam
PF00023	PF00023	iPfam
PF00758	PF00758	iPfam
PF02815	PF02815	iPfam
PF01497	PF01497	iPfam
PF13193	PF13193	iPfam
PF14689	PF14689	iPfam
PF00437	PF00437	iPfam
PF14894	PF14894	iPfam
PF01947	PF01947	iPfam
PF07690	PF07690	iPfam
PF07190	PF07190	iPfam
PF06572	PF06572	iPfam
PF03411	PF03411	iPfam
PF00528	PF00528	iPfam
PF08376	PF08376	iPfam
PF00415	PF00415	iPfam
PF01338	PF01338	iPfam
PF01546	PF01546	iPfam
PF07238	PF07238	iPfam
PF01591	PF01591	iPfam
PF08203	PF08203	iPfam
PF08531	PF08531	iPfam
PF03114	PF03114	iPfam
PF02749	PF02749	iPfam
PF12796	PF12796	iPfam
PF12702	PF12702	iPfam
PF00441	PF00441	iPfam
PF00427	PF00427	iPfam
PF02432	PF02432	iPfam
PF12163	PF12163	iPfam
PF03939	PF03939	iPfam
PF02676	PF02676	iPfam
PF00923	PF00923	iPfam
PF01491	PF01491	iPfam
PF03495	PF03495	iPfam
PF00589	PF00589	iPfam
PF02837	PF02837	iPfam
PF03483	PF03483	iPfam
PF11976	PF11976	iPfam
PF00718	PF00718	iPfam
PF02945	PF02945	iPfam
PF08546	PF08546	iPfam
PF05853	PF05853	iPfam
PF02991	PF02991	iPfam
PF02098	PF02098	iPfam
PF02501	PF02501	iPfam
PF00740	PF00740	iPfam
PF00650	PF00650	iPfam
PF01670	PF01670	iPfam
PF03524	PF03524	iPfam
PF08814	PF08814	iPfam
PF03528	PF03528	iPfam
PF11578	PF11578	iPfam
PF08581	PF08581	iPfam
PF09500	PF09500	iPfam
PF05394	PF05394	iPfam
PF01551	PF01551	iPfam
PF09414	PF09414	iPfam
PF09200	PF09200	iPfam
PF00332	PF00332	iPfam
PF05141	PF05141	iPfam
PF05652	PF05652	iPfam
PF11217	PF11217	iPfam
PF08598	PF08598	iPfam
PF04097	PF04097	iPfam
PF03902	PF03902	iPfam
PF00390	PF00390	iPfam
PF12176	PF12176	iPfam
PF03180	PF03180	iPfam
PF00842	PF00842	iPfam
PF05966	PF05966	iPfam
PF14450	PF14450	iPfam
PF13784	PF13784	iPfam
PF13291	PF13291	iPfam
PF00378	PF00378	iPfam
PF12682	PF12682	iPfam
PF01797	PF01797	iPfam
PF12192	PF12192	iPfam
PF06268	PF06268	iPfam
PF02179	PF02179	iPfam
PF10771	PF10771	iPfam
PF00304	PF00304	iPfam
PF01754	PF01754	iPfam
PF04199	PF04199	iPfam
PF00038	PF00038	iPfam
PF09408	PF09408	iPfam
PF02801	PF02801	iPfam
PF14682	PF14682	iPfam
PF10432	PF10432	iPfam
PF09904	PF09904	iPfam
PF08818	PF08818	iPfam
PF07517	PF07517	iPfam
PF07361	PF07361	iPfam
PF03735	PF03735	iPfam
PF00548	PF00548	iPfam
PF00196	PF00196	iPfam
PF07731	PF07731	iPfam
PF00998	PF00998	iPfam
PF08942	PF08942	iPfam
PF10410	PF10410	iPfam
PF00345	PF00345	iPfam
PF00563	PF00563	iPfam
PF00637	PF00637	iPfam
PF00735	PF00735	iPfam
PF07742	PF07742	iPfam
PF02836	PF02836	iPfam
PF03159	PF03159	iPfam
PF12208	PF12208	iPfam
PF09511	PF09511	iPfam
PF01022	PF01022	iPfam
PF08787	PF08787	iPfam
PF00848	PF00848	iPfam
PF05016	PF05016	iPfam
PF13476	PF13476	iPfam
PF09360	PF09360	iPfam
PF02127	PF02127	iPfam
PF01840	PF01840	iPfam
PF08679	PF08679	iPfam
PF10054	PF10054	iPfam
PF04121	PF04121	iPfam
PF01784	PF01784	iPfam
PF01427	PF01427	iPfam
PF08709	PF08709	iPfam
PF01077	PF01077	iPfam
PF01032	PF01032	iPfam
PF14486	PF14486	iPfam
PF13525	PF13525	iPfam
PF03576	PF03576	iPfam
PF13354	PF13354	iPfam
PF00183	PF00183	iPfam
PF09232	PF09232	iPfam
PF01137	PF01137	iPfam
PF00282	PF00282	iPfam
PF00711	PF00711	iPfam
PF03996	PF03996	iPfam
PF05168	PF05168	iPfam
PF06351	PF06351	iPfam
PF05870	PF05870	iPfam
PF01025	PF01025	iPfam
PF11962	PF11962	iPfam
PF00079	PF00079	iPfam
PF03992	PF03992	iPfam
PF02777	PF02777	iPfam
PF00270	PF00270	iPfam
PF11396	PF11396	iPfam
PF06028	PF06028	iPfam
PF02779	PF02779	iPfam
PF06399	PF06399	iPfam
PF08246	PF08246	iPfam
PF00077	PF00077	iPfam
PF07476	PF07476	iPfam
PF02742	PF02742	iPfam
PF06041	PF06041	iPfam
PF14830	PF14830	iPfam
PF01896	PF01896	iPfam
PF02575	PF02575	iPfam
PF07943	PF07943	iPfam
PF00772	PF00772	iPfam
PF14478	PF14478	iPfam
PF05235	PF05235	iPfam
PF00509	PF00509	iPfam
PF13855	PF13855	iPfam
PF11609	PF11609	iPfam
PF04794	PF04794	iPfam
PF04539	PF04539	iPfam
PF01070	PF01070	iPfam
PF00061	PF00061	iPfam
PF00697	PF00697	iPfam
PF02982	PF02982	iPfam
PF12626	PF12626	iPfam
PF05202	PF05202	iPfam
PF13545	PF13545	iPfam
PF11546	PF11546	iPfam
PF02796	PF02796	iPfam
PF03556	PF03556	iPfam
PF10387	PF10387	iPfam
PF04324	PF04324	iPfam
PF03405	PF03405	iPfam
PF14582	PF14582	iPfam
PF01608	PF01608	iPfam
PF00664	PF00664	iPfam
PF13181	PF13181	iPfam
PF09375	PF09375	iPfam
PF02788	PF02788	iPfam
PF01613	PF01613	iPfam
PF04077	PF04077	iPfam
PF12229	PF12229	iPfam
PF04582	PF04582	iPfam
PF05153	PF05153	iPfam
PF04454	PF04454	iPfam
PF09347	PF09347	iPfam
PF11417	PF11417	iPfam
PF00244	PF00244	iPfam
PF05974	PF05974	iPfam
PF01939	PF01939	iPfam
PF02277	PF02277	iPfam
PF01188	PF01188	iPfam
PF04358	PF04358	iPfam
PF04263	PF04263	iPfam
PF14947	PF14947	iPfam
PF03714	PF03714	iPfam
PF07575	PF07575	iPfam
PF03131	PF03131	iPfam
PF08767	PF08767	iPfam
PF07824	PF07824	iPfam
PF00354	PF00354	iPfam
PF03280	PF03280	iPfam
PF00657	PF00657	iPfam
PF00694	PF00694	iPfam
PF05214	PF05214	iPfam
PF05719	PF05719	iPfam
PF02091	PF02091	iPfam
PF01582	PF01582	iPfam
PF13540	PF13540	iPfam
PF06331	PF06331	iPfam
PF02735	PF02735	iPfam
PF14496	PF14496	iPfam
PF12924	PF12924	iPfam
PF13840	PF13840	iPfam
PF08502	PF08502	iPfam
PF13930	PF13930	iPfam
PF02424	PF02424	iPfam
PF14534	PF14534	iPfam
PF01293	PF01293	iPfam
PF04262	PF04262	iPfam
PF06165	PF06165	iPfam
PF04445	PF04445	iPfam
PF07072	PF07072	iPfam
PF04151	PF04151	iPfam
PF04248	PF04248	iPfam
PF02611	PF02611	iPfam
PF01037	PF01037	iPfam
PF13288	PF13288	iPfam
PF07813	PF07813	iPfam
PF03968	PF03968	iPfam
PF08327	PF08327	iPfam
PF02932	PF02932	iPfam
PF00599	PF00599	iPfam
PF12904	PF12904	iPfam
PF00989	PF00989	iPfam
PF02970	PF02970	iPfam
PF02075	PF02075	iPfam
PF04616	PF04616	iPfam
PF00590	PF00590	iPfam
PF00360	PF00360	iPfam
PF03847	PF03847	iPfam
PF14543	PF14543	iPfam
PF01078	PF01078	iPfam
PF02634	PF02634	iPfam
PF13090	PF13090	iPfam
PF00871	PF00871	iPfam
PF12324	PF12324	iPfam
PF09638	PF09638	iPfam
PF04545	PF04545	iPfam
PF10938	PF10938	iPfam
PF06983	PF06983	iPfam
PF02153	PF02153	iPfam
PF11580	PF11580	iPfam
PF01507	PF01507	iPfam
PF04480	PF04480	iPfam
PF07468	PF07468	iPfam
PF06315	PF06315	iPfam
PF09392	PF09392	iPfam
PF05236	PF05236	iPfam
PF01226	PF01226	iPfam
PF06415	PF06415	iPfam
PF03952	PF03952	iPfam
PF02318	PF02318	iPfam
PF00949	PF00949	iPfam
PF11588	PF11588	iPfam
PF13384	PF13384	iPfam
PF05908	PF05908	iPfam
PF01434	PF01434	iPfam
PF07647	PF07647	iPfam
PF00484	PF00484	iPfam
PF13180	PF13180	iPfam
PF02367	PF02367	iPfam
PF05662	PF05662	iPfam
PF02579	PF02579	iPfam
PF12604	PF12604	iPfam
PF00899	PF00899	iPfam
PF14522	PF14522	iPfam
PF08541	PF08541	iPfam
PF10635	PF10635	iPfam
PF11895	PF11895	iPfam
PF11969	PF11969	iPfam
PF02190	PF02190	iPfam
PF10061	PF10061	iPfam
PF07850	PF07850	iPfam
PF00680	PF00680	iPfam
PF10411	PF10411	iPfam
PF00171	PF00171	iPfam
PF01912	PF01912	iPfam
PF01409	PF01409	iPfam
PF12802	PF12802	iPfam
PF11221	PF11221	iPfam
PF05367	PF05367	iPfam
PF14824	PF14824	iPfam
PF09496	PF09496	iPfam
PF13794	PF13794	iPfam
PF12977	PF12977	iPfam
PF08615	PF08615	iPfam
PF08241	PF08241	iPfam
PF13401	PF13401	iPfam
PF03505	PF03505	iPfam
PF07688	PF07688	iPfam
PF04078	PF04078	iPfam
PF03588	PF03588	iPfam
PF04072	PF04072	iPfam
PF10409	PF10409	iPfam
PF01187	PF01187	iPfam
PF01140	PF01140	iPfam
PF06204	PF06204	iPfam
PF04386	PF04386	iPfam
PF00349	PF00349	iPfam
PF08888	PF08888	iPfam
PF02832	PF02832	iPfam
PF03431	PF03431	iPfam
PF00227	PF00227	iPfam
PF09386	PF09386	iPfam
PF00019	PF00019	iPfam
PF08100	PF08100	iPfam
PF01361	PF01361	iPfam
PF00940	PF00940	iPfam
PF14583	PF14583	iPfam
PF14551	PF14551	iPfam
PF01501	PF01501	iPfam
PF04710	PF04710	iPfam
PF00621	PF00621	iPfam
PF03030	PF03030	iPfam
PF09363	PF09363	iPfam
PF01842	PF01842	iPfam
PF00754	PF00754	iPfam
PF02035	PF02035	iPfam
PF06228	PF06228	iPfam
PF11401	PF11401	iPfam
PF14791	PF14791	iPfam
PF03492	PF03492	iPfam
PF01216	PF01216	iPfam
PF13589	PF13589	iPfam
PF12826	PF12826	iPfam
PF03153	PF03153	iPfam
PF02229	PF02229	iPfam
PF00491	PF00491	iPfam
PF00405	PF00405	iPfam
PF13816	PF13816	iPfam
PF10512	PF10512	iPfam
PF06375	PF06375	iPfam
PF13958	PF13958	iPfam
PF05064	PF05064	iPfam
PF00204	PF00204	iPfam
PF02435	PF02435	iPfam
PF08903	PF08903	iPfam
PF02130	PF02130	iPfam
PF08324	PF08324	iPfam
PF00026	PF00026	iPfam
PF01869	PF01869	iPfam
PF04729	PF04729	iPfam
PF10393	PF10393	iPfam
PF03720	PF03720	iPfam
PF05209	PF05209	iPfam
PF06243	PF06243	iPfam
PF04928	PF04928	iPfam
PF13576	PF13576	iPfam
PF08503	PF08503	iPfam
PF00434	PF00434	iPfam
PF01980	PF01980	iPfam
PF00654	PF00654	iPfam
PF02759	PF02759	iPfam
PF01687	PF01687	iPfam
PF00001	PF00001	iPfam
PF05881	PF05881	iPfam
PF01368	PF01368	iPfam
PF01269	PF01269	iPfam
PF02561	PF02561	iPfam
PF00617	PF00617	iPfam
PF03838	PF03838	iPfam
PF00214	PF00214	iPfam
PF08714	PF08714	iPfam
PF01987	PF01987	iPfam
PF09264	PF09264	iPfam
PF04563	PF04563	iPfam
PF00412	PF00412	iPfam
PF01204	PF01204	iPfam
PF00670	PF00670	iPfam
PF03471	PF03471	iPfam
PF06251	PF06251	iPfam
PF11645	PF11645	iPfam
PF08597	PF08597	iPfam
PF07912	PF07912	iPfam
PF06955	PF06955	iPfam
PF00884	PF00884	iPfam
PF14438	PF14438	iPfam
PF02800	PF02800	iPfam
PF01693	PF01693	iPfam
PF04996	PF04996	iPfam
PF01977	PF01977	iPfam
PF01297	PF01297	iPfam
PF08868	PF08868	iPfam
PF14186	PF14186	iPfam
PF01948	PF01948	iPfam
PF03220	PF03220	iPfam
PF00675	PF00675	iPfam
PF11530	PF11530	iPfam
PF04722	PF04722	iPfam
PF00271	PF00271	iPfam
PF00074	PF00074	iPfam
PF07299	PF07299	iPfam
PF00553	PF00553	iPfam
PF08864	PF08864	iPfam
PF13577	PF13577	iPfam
PF00248	PF00248	iPfam
PF13177	PF13177	iPfam
PF00269	PF00269	iPfam
PF12008	PF12008	iPfam
PF01814	PF01814	iPfam
PF03893	PF03893	iPfam
PF05138	PF05138	iPfam
PF07495	PF07495	iPfam
PF03873	PF03873	iPfam
PF00424	PF00424	iPfam
PF00488	PF00488	iPfam
PF10275	PF10275	iPfam
PF00908	PF00908	iPfam
PF14575	PF14575	iPfam
PF14606	PF14606	iPfam
PF14226	PF14226	iPfam
PF01517	PF01517	iPfam
PF00814	PF00814	iPfam
PF01404	PF01404	iPfam
PF00175	PF00175	iPfam
PF02028	PF02028	iPfam
