Domain1	Domain2	Source
PF00252	PF00252	iPfam
PF14580	PF14580	iPfam
PF01960	PF01960	iPfam
PF00643	PF00643	iPfam
PF01374	PF01374	iPfam
PF01624	PF01624	iPfam
PF07992	PF07992	iPfam
PF01906	PF01906	iPfam
PF10014	PF10014	iPfam
PF06585	PF06585	iPfam
PF14938	PF14938	iPfam
PF13372	PF13372	iPfam
PF00245	PF00245	iPfam
PF02746	PF02746	iPfam
PF00073	PF00073	iPfam
PF02897	PF02897	iPfam
PF03264	PF03264	iPfam
PF02477	PF02477	iPfam
PF08963	PF08963	iPfam
PF03301	PF03301	iPfam
PF01244	PF01244	iPfam
PF04397	PF04397	iPfam
PF03797	PF03797	iPfam
PF00533	PF00533	iPfam
PF00815	PF00815	iPfam
PF01156	PF01156	iPfam
PF09442	PF09442	iPfam
PF08222	PF08222	iPfam
PF00560	PF00560	iPfam
PF02201	PF02201	iPfam
PF06953	PF06953	iPfam
PF00627	PF00627	iPfam
PF05068	PF05068	iPfam
PF03424	PF03424	iPfam
PF00117	PF00117	iPfam
PF01285	PF01285	iPfam
PF08715	PF08715	iPfam
PF06821	PF06821	iPfam
PF01643	PF01643	iPfam
PF03309	PF03309	iPfam
PF09449	PF09449	iPfam
PF03643	PF03643	iPfam
PF02170	PF02170	iPfam
PF00556	PF00556	iPfam
PF07313	PF07313	iPfam
PF00457	PF00457	iPfam
PF07679	PF07679	iPfam
PF01435	PF01435	iPfam
PF00747	PF00747	iPfam
PF07467	PF07467	iPfam
PF01441	PF01441	iPfam
PF08848	PF08848	iPfam
PF00804	PF00804	iPfam
PF00485	PF00485	iPfam
PF12900	PF12900	iPfam
PF00846	PF00846	iPfam
PF14827	PF14827	iPfam
PF05430	PF05430	iPfam
PF00034	PF00034	iPfam
PF09008	PF09008	iPfam
PF06438	PF06438	iPfam
PF00992	PF00992	iPfam
PF02738	PF02738	iPfam
PF13527	PF13527	iPfam
PF08939	PF08939	iPfam
PF08511	PF08511	iPfam
PF13336	PF13336	iPfam
PF01403	PF01403	iPfam
PF02148	PF02148	iPfam
PF00502	PF00502	iPfam
PF05848	PF05848	iPfam
PF05151	PF05151	iPfam
PF04126	PF04126	iPfam
PF09631	PF09631	iPfam
PF00125	PF00125	iPfam
PF10702	PF10702	iPfam
PF00423	PF00423	iPfam
PF00489	PF00489	iPfam
PF01655	PF01655	iPfam
PF08869	PF08869	iPfam
PF00788	PF00788	iPfam
PF05685	PF05685	iPfam
PF00318	PF00318	iPfam
PF12535	PF12535	iPfam
PF09164	PF09164	iPfam
PF00653	PF00653	iPfam
PF00962	PF00962	iPfam
PF01761	PF01761	iPfam
PF00606	PF00606	iPfam
PF01343	PF01343	iPfam
PF01207	PF01207	iPfam
PF01393	PF01393	iPfam
PF00755	PF00755	iPfam
PF01909	PF01909	iPfam
PF00157	PF00157	iPfam
PF08323	PF08323	iPfam
PF01262	PF01262	iPfam
PF00512	PF00512	iPfam
PF13278	PF13278	iPfam
PF07979	PF07979	iPfam
PF00174	PF00174	iPfam
PF05099	PF05099	iPfam
PF01157	PF01157	iPfam
PF04908	PF04908	iPfam
PF04289	PF04289	iPfam
PF06247	PF06247	iPfam
PF13802	PF13802	iPfam
PF09141	PF09141	iPfam
PF07745	PF07745	iPfam
PF09471	PF09471	iPfam
PF07130	PF07130	iPfam
PF12974	PF12974	iPfam
PF00097	PF00097	iPfam
PF04715	PF04715	iPfam
PF04692	PF04692	iPfam
PF03284	PF03284	iPfam
PF09646	PF09646	iPfam
PF00619	PF00619	iPfam
PF01379	PF01379	iPfam
PF00104	PF00104	iPfam
PF15630	PF15630	iPfam
PF13685	PF13685	iPfam
PF13176	PF13176	iPfam
PF10388	PF10388	iPfam
PF14803	PF14803	iPfam
PF00703	PF00703	iPfam
PF06778	PF06778	iPfam
PF01112	PF01112	iPfam
PF13544	PF13544	iPfam
PF00944	PF00944	iPfam
PF01239	PF01239	iPfam
PF10150	PF10150	iPfam
PF13450	PF13450	iPfam
PF02772	PF02772	iPfam
PF09028	PF09028	iPfam
PF14530	PF14530	iPfam
PF12680	PF12680	iPfam
PF01923	PF01923	iPfam
PF05497	PF05497	iPfam
PF02212	PF02212	iPfam
PF11566	PF11566	iPfam
PF09147	PF09147	iPfam
PF01850	PF01850	iPfam
PF11977	PF11977	iPfam
PF06445	PF06445	iPfam
PF06090	PF06090	iPfam
PF05693	PF05693	iPfam
PF05389	PF05389	iPfam
PF02458	PF02458	iPfam
PF00583	PF00583	iPfam
PF05194	PF05194	iPfam
PF12134	PF12134	iPfam
PF00476	PF00476	iPfam
PF00672	PF00672	iPfam
PF01597	PF01597	iPfam
PF06751	PF06751	iPfam
PF07882	PF07882	iPfam
PF14556	PF14556	iPfam
PF06124	PF06124	iPfam
PF02273	PF02273	iPfam
PF05163	PF05163	iPfam
PF02977	PF02977	iPfam
PF04452	PF04452	iPfam
PF01458	PF01458	iPfam
PF03212	PF03212	iPfam
PF02630	PF02630	iPfam
PF01418	PF01418	iPfam
PF06745	PF06745	iPfam
PF05351	PF05351	iPfam
PF04652	PF04652	iPfam
PF10341	PF10341	iPfam
PF02785	PF02785	iPfam
PF00141	PF00141	iPfam
PF13414	PF13414	iPfam
PF02672	PF02672	iPfam
PF00591	PF00591	iPfam
PF02290	PF02290	iPfam
PF02381	PF02381	iPfam
PF01081	PF01081	iPfam
PF07653	PF07653	iPfam
PF09370	PF09370	iPfam
PF07710	PF07710	iPfam
PF00622	PF00622	iPfam
PF10722	PF10722	iPfam
PF00170	PF00170	iPfam
PF01793	PF01793	iPfam
PF13844	PF13844	iPfam
PF02668	PF02668	iPfam
PF11615	PF11615	iPfam
PF09385	PF09385	iPfam
PF01665	PF01665	iPfam
PF06807	PF06807	iPfam
PF14792	PF14792	iPfam
PF02351	PF02351	iPfam
PF02278	PF02278	iPfam
PF00965	PF00965	iPfam
PF12007	PF12007	iPfam
PF02198	PF02198	iPfam
PF00050	PF00050	iPfam
PF07475	PF07475	iPfam
PF02036	PF02036	iPfam
PF03418	PF03418	iPfam
PF05033	PF05033	iPfam
PF13360	PF13360	iPfam
PF08007	PF08007	iPfam
PF00182	PF00182	iPfam
PF08005	PF08005	iPfam
PF02132	PF02132	iPfam
PF00265	PF00265	iPfam
PF13185	PF13185	iPfam
PF07733	PF07733	iPfam
PF03171	PF03171	iPfam
PF02455	PF01310	iPfam
PF04898	PF14691	iPfam
PF04898	PF00310	iPfam
PF02225	PF00129	iPfam
PF02225	PF00082	iPfam
PF02225	PF04389	iPfam
PF02225	PF00798	iPfam
PF02225	PF04253	iPfam
PF12850	PF03635	iPfam
PF02603	PF07475	iPfam
PF00679	PF03946	iPfam
PF00164	PF14492	iPfam
PF00164	PF04758	iPfam
PF00164	PF01765	iPfam
PF00164	PF00366	iPfam
PF00164	PF05016	iPfam
PF00164	PF08071	iPfam
PF00164	PF08069	iPfam
PF00164	PF00410	iPfam
PF00164	PF03764	iPfam
PF00164	PF01479	iPfam
PF00164	PF01176	iPfam
PF00164	PF09000	iPfam
PF07859	PF12041	iPfam
PF01375	PF01376	iPfam
PF03167	PF11976	iPfam
PF01769	PF03448	iPfam
PF00179	PF10275	iPfam
PF00179	PF14570	iPfam
PF00179	PF03810	iPfam
PF00179	PF11976	iPfam
PF00179	PF00097	iPfam
PF00179	PF08825	iPfam
PF00179	PF12185	iPfam
PF00179	PF07834	iPfam
PF00179	PF13639	iPfam
PF00179	PF01754	iPfam
PF00179	PF04564	iPfam
PF00179	PF13920	iPfam
PF00179	PF12827	iPfam
PF00179	PF08389	iPfam
PF00179	PF00632	iPfam
PF12220	PF01423	iPfam
PF02502	PF12408	iPfam
PF08079	PF00828	iPfam
PF08079	PF01246	iPfam
PF08079	PF00297	iPfam
PF08079	PF14374	iPfam
PF08079	PF00557	iPfam
PF04042	PF09507	iPfam
PF04042	PF08996	iPfam
PF10591	PF01391	iPfam
PF03921	PF13895	iPfam
PF02237	PF03099	iPfam
PF02237	PF00364	iPfam
PF04257	PF13604	iPfam
PF03404	PF00174	iPfam
PF03404	PF13442	iPfam
PF04083	PF00561	iPfam
PF01200	PF00177	iPfam
PF01664	PF07686	iPfam
PF00289	PF02436	iPfam
PF00289	PF00364	iPfam
PF10557	PF12678	iPfam
PF03953	PF00836	iPfam
PF03953	PF00091	iPfam
PF03953	PF03607	iPfam
PF03953	PF03133	iPfam
PF03953	PF00307	iPfam
PF14789	PF14790	iPfam
PF04313	PF04851	iPfam
PF03869	PF11423	iPfam
PF02282	PF11590	iPfam
PF01464	PF04151	iPfam
PF02629	PF00549	iPfam
PF02629	PF08442	iPfam
PF02629	PF06971	iPfam
PF03501	PF01251	iPfam
PF03501	PF07650	iPfam
PF03501	PF04774	iPfam
PF03501	PF01248	iPfam
PF03501	PF00253	iPfam
PF00903	PF12681	iPfam
PF00903	PF14696	iPfam
PF00120	PF03951	iPfam
PF00120	PF12437	iPfam
PF06367	PF02181	iPfam
PF06367	PF06371	iPfam
PF01090	PF00177	iPfam
PF01090	PF00380	iPfam
PF03519	PF09052	iPfam
PF07968	PF07686	iPfam
PF07968	PF12563	iPfam
PF09245	PF07686	iPfam
PF00817	PF11799	iPfam
PF05743	PF08705	iPfam
PF05743	PF00240	iPfam
PF00875	PF03441	iPfam
PF05026	PF06058	iPfam
PF05026	PF00293	iPfam
PF00105	PF00104	iPfam
PF00454	PF00071	iPfam
PF00454	PF00017	iPfam
PF00454	PF00794	iPfam
PF00454	PF00400	iPfam
PF00454	PF00613	iPfam
PF05737	PF01391	iPfam
PF02768	PF11799	iPfam
PF02768	PF06144	iPfam
PF01246	PF00297	iPfam
PF01246	PF00831	iPfam
PF01246	PF01247	iPfam
PF00794	PF00071	iPfam
PF03872	PF08281	iPfam
PF02700	PF13507	iPfam
PF04509	PF03975	iPfam
PF11412	PF13899	iPfam
PF02204	PF00071	iPfam
PF00581	PF07992	iPfam
PF00581	PF08941	iPfam
PF00640	PF10515	iPfam
PF00640	PF08725	iPfam
PF00045	PF00965	iPfam
PF00045	PF00413	iPfam
PF00045	PF01391	iPfam
PF01114	PF00151	iPfam
PF01405	PF00421	iPfam
PF00515	PF00183	iPfam
PF00515	PF02036	iPfam
PF00515	PF13181	iPfam
PF00515	PF13174	iPfam
PF00515	PF13176	iPfam
PF00515	PF13844	iPfam
PF00515	PF10471	iPfam
PF00515	PF12895	iPfam
PF02493	PF00856	iPfam
PF04992	PF01191	iPfam
PF04992	PF03870	iPfam
PF04992	PF01192	iPfam
PF04992	PF01096	iPfam
PF00995	PF04840	iPfam
PF00995	PF00804	iPfam
PF00995	PF11416	iPfam
PF00995	PF05739	iPfam
PF02783	PF02240	iPfam
PF06511	PF09392	iPfam
PF01468	PF07554	iPfam
PF03853	PF09532	iPfam
PF03888	PF03873	iPfam
PF13654	PF05362	iPfam
PF02767	PF02768	iPfam
PF02767	PF11799	iPfam
PF02767	PF06144	iPfam
PF06144	PF13177	iPfam
PF06144	PF14840	iPfam
PF06144	PF12169	iPfam
PF13380	PF12796	iPfam
PF06632	PF09302	iPfam
PF06632	PF11411	iPfam
PF06632	PF00533	iPfam
PF00630	PF08725	iPfam
PF03150	PF00034	iPfam
PF03150	PF02975	iPfam
PF01127	PF13085	iPfam
PF01127	PF13183	iPfam
PF01127	PF05328	iPfam
PF00420	PF00499	iPfam
PF00420	PF00507	iPfam
PF07650	PF01251	iPfam
PF07650	PF00833	iPfam
PF01990	PF01992	iPfam
PF05712	PF15275	iPfam
PF13429	PF13432	iPfam
PF13409	PF13410	iPfam
PF02978	PF00237	iPfam
PF02978	PF00001	iPfam
PF02978	PF00276	iPfam
PF00115	PF08113	iPfam
PF00115	PF02238	iPfam
PF00115	PF02433	iPfam
PF00115	PF00510	iPfam
PF00115	PF02285	iPfam
PF00115	PF06481	iPfam
PF00115	PF09125	iPfam
PF00115	PF00034	iPfam
PF00115	PF02297	iPfam
PF00115	PF02935	iPfam
PF00115	PF01215	iPfam
PF00115	PF02937	iPfam
PF00115	PF07835	iPfam
PF00115	PF13442	iPfam
PF00115	PF02790	iPfam
PF00115	PF02046	iPfam
PF00115	PF05392	iPfam
PF00115	PF02936	iPfam
PF00115	PF00116	iPfam
PF03033	PF06722	iPfam
PF03033	PF00201	iPfam
PF00217	PF02807	iPfam
PF11432	PF00507	iPfam
PF09261	PF07748	iPfam
PF02806	PF02922	iPfam
PF02806	PF00128	iPfam
PF01002	PF00014	iPfam
PF00594	PF09294	iPfam
PF07678	PF00090	iPfam
PF07678	PF12199	iPfam
PF07678	PF01823	iPfam
PF07678	PF00092	iPfam
PF07678	PF11621	iPfam
PF07678	PF10569	iPfam
PF02747	PF01351	iPfam
PF02747	PF09507	iPfam
PF02747	PF09468	iPfam
PF01471	PF00413	iPfam
PF00782	PF10409	iPfam
PF03463	PF04758	iPfam
PF03463	PF03464	iPfam
PF09163	PF00033	iPfam
PF08329	PF00704	iPfam
PF02134	PF00240	iPfam
PF02134	PF00179	iPfam
PF06456	PF00071	iPfam
PF00600	PF00642	iPfam
PF00930	PF04052	iPfam
PF00930	PF09408	iPfam
PF00930	PF00691	iPfam
PF00930	PF03515	iPfam
PF00930	PF00962	iPfam
PF00930	PF00326	iPfam
PF00930	PF00159	iPfam
PF02046	PF02297	iPfam
PF01199	PF05162	iPfam
PF01199	PF01282	iPfam
PF01199	PF01158	iPfam
PF01199	PF01780	iPfam
PF00005	PF08402	iPfam
PF00005	PF14396	iPfam
PF00238	PF01246	iPfam
PF00238	PF00297	iPfam
PF00238	PF01245	iPfam
PF00238	PF01779	iPfam
PF04055	PF12544	iPfam
PF11838	PF01600	iPfam
PF11838	PF02202	iPfam
PF07952	PF08470	iPfam
PF07952	PF07953	iPfam
PF13639	PF00240	iPfam
PF02163	PF00595	iPfam
PF02876	PF07686	iPfam
PF02876	PF01123	iPfam
PF02876	PF09199	iPfam
PF02876	PF07654	iPfam
PF07201	PF05932	iPfam
PF07201	PF09059	iPfam
PF07499	PF05496	iPfam
PF07499	PF14520	iPfam
PF03129	PF13393	iPfam
PF03129	PF09180	iPfam
PF03129	PF00587	iPfam
PF02937	PF05392	iPfam
PF02260	PF00400	iPfam
PF00014	PF00089	iPfam
PF13242	PF13344	iPfam
PF02925	PF02306	iPfam
PF02925	PF02305	iPfam
PF01920	PF02996	iPfam
PF02709	PF13733	iPfam
PF02709	PF00062	iPfam
PF00480	PF00367	iPfam
PF00018	PF00435	iPfam
PF00018	PF05924	iPfam
PF00018	PF07653	iPfam
PF00018	PF12026	iPfam
PF00018	PF00240	iPfam
PF00018	PF02189	iPfam
PF00018	PF08944	iPfam
PF00018	PF00412	iPfam
PF00023	PF13637	iPfam
PF00023	PF12796	iPfam
PF00023	PF13857	iPfam
PF00023	PF00412	iPfam
PF00758	PF00041	iPfam
PF00758	PF09067	iPfam
PF13247	PF14589	iPfam
PF13247	PF02665	iPfam
PF13247	PF00033	iPfam
PF14689	PF00072	iPfam
PF07190	PF00048	iPfam
PF00528	PF01547	iPfam
PF00528	PF00005	iPfam
PF01546	PF07687	iPfam
PF07238	PF12945	iPfam
PF01591	PF00300	iPfam
PF12796	PF09596	iPfam
PF12796	PF13637	iPfam
PF12796	PF05033	iPfam
PF12796	PF00412	iPfam
PF04086	PF09439	iPfam
PF00441	PF02770	iPfam
PF00441	PF12186	iPfam
PF00441	PF00766	iPfam
PF02432	PF00345	iPfam
PF03939	PF00297	iPfam
PF03939	PF00347	iPfam
PF03939	PF00252	iPfam
PF03939	PF00831	iPfam
PF03939	PF01199	iPfam
PF03495	PF00092	iPfam
PF03495	PF07737	iPfam
PF00589	PF13495	iPfam
PF11976	PF07834	iPfam
PF11976	PF12185	iPfam
PF00718	PF00761	iPfam
PF02945	PF09124	iPfam
PF02991	PF00262	iPfam
PF02991	PF12744	iPfam
PF02501	PF03934	iPfam
PF02501	PF11612	iPfam
PF03524	PF03743	iPfam
PF05394	PF05627	iPfam
PF02884	PF08124	iPfam
PF05652	PF11969	iPfam
PF03902	PF00172	iPfam
PF00390	PF03949	iPfam
PF12176	PF02607	iPfam
PF08726	PF09042	iPfam
PF00842	PF01168	iPfam
PF00378	PF02803	iPfam
PF00378	PF00072	iPfam
PF00378	PF00108	iPfam
PF07738	PF10541	iPfam
PF14682	PF14689	iPfam
PF14682	PF00072	iPfam
PF07517	PF03840	iPfam
PF07517	PF00344	iPfam
PF03874	PF00575	iPfam
PF03874	PF08292	iPfam
PF03874	PF03876	iPfam
PF03735	PF01393	iPfam
PF00196	PF09228	iPfam
PF00196	PF00072	iPfam
PF01280	PF01775	iPfam
PF01280	PF01159	iPfam
PF01280	PF01655	iPfam
PF07731	PF03098	iPfam
PF07731	PF07732	iPfam
PF10410	PF13662	iPfam
PF00345	PF03627	iPfam
PF00345	PF09255	iPfam
PF00345	PF09160	iPfam
PF00345	PF02753	iPfam
PF00345	PF03628	iPfam
PF00345	PF13953	iPfam
PF00345	PF00577	iPfam
PF00345	PF13954	iPfam
PF00563	PF07238	iPfam
PF00563	PF05247	iPfam
PF00563	PF10388	iPfam
PF00637	PF01086	iPfam
PF08934	PF02703	iPfam
PF02836	PF02837	iPfam
PF03159	PF08652	iPfam
PF05016	PF04221	iPfam
PF05016	PF03693	iPfam
PF13476	PF13558	iPfam
PF13476	PF12320	iPfam
PF08069	PF01015	iPfam
PF04121	PF12110	iPfam
PF04121	PF03177	iPfam
PF09734	PF10419	iPfam
PF01077	PF00037	iPfam
PF01077	PF03460	iPfam
PF01077	PF04358	iPfam
PF00572	PF00281	iPfam
PF00572	PF08079	iPfam
PF00572	PF01247	iPfam
PF00572	PF00453	iPfam
PF00572	PF00297	iPfam
PF00572	PF00673	iPfam
PF01032	PF01497	iPfam
PF01032	PF00005	iPfam
PF13525	PF06804	iPfam
PF13354	PF07467	iPfam
PF13354	PF13540	iPfam
PF01667	PF08069	iPfam
PF01667	PF01283	iPfam
PF00183	PF04969	iPfam
PF00183	PF13589	iPfam
PF00183	PF09229	iPfam
PF00183	PF08565	iPfam
PF00183	PF04968	iPfam
PF01137	PF05189	iPfam
PF03996	PF08720	iPfam
PF03996	PF02710	iPfam
PF01025	PF00012	iPfam
PF00079	PF01033	iPfam
PF13086	PF13087	iPfam
PF00270	PF09405	iPfam
PF00270	PF02792	iPfam
PF00270	PF00271	iPfam
PF00270	PF09382	iPfam
PF00270	PF02854	iPfam
PF00270	PF02847	iPfam
PF00270	PF08084	iPfam
PF02779	PF13292	iPfam
PF02779	PF02780	iPfam
PF02779	PF00456	iPfam
PF02779	PF00676	iPfam
PF02779	PF12573	iPfam
PF00077	PF00540	iPfam
PF00077	PF08705	iPfam
PF00077	PF00075	iPfam
PF00077	PF00607	iPfam
PF04818	PF05001	iPfam
PF02742	PF04023	iPfam
PF02742	PF01325	iPfam
PF01896	PF04104	iPfam
PF05454	PF09069	iPfam
PF05454	PF09068	iPfam
PF05454	PF00397	iPfam
PF00509	PF09245	iPfam
PF00509	PF07686	iPfam
PF00509	PF02876	iPfam
PF00509	PF00129	iPfam
PF04775	PF08840	iPfam
PF13855	PF00055	iPfam
PF13855	PF00669	iPfam
PF13855	PF02221	iPfam
PF04539	PF04316	iPfam
PF04539	PF04545	iPfam
PF00061	PF00041	iPfam
PF05202	PF03930	iPfam
PF13545	PF12058	iPfam
PF03556	PF10557	iPfam
PF00861	PF00238	iPfam
PF00861	PF08079	iPfam
PF00861	PF00935	iPfam
PF00861	PF00327	iPfam
PF00861	PF00297	iPfam
PF00861	PF01157	iPfam
PF00861	PF01016	iPfam
PF00861	PF00673	iPfam
PF02269	PF04719	iPfam
PF03405	PF00550	iPfam
PF00664	PF00005	iPfam
PF02788	PF00101	iPfam
PF02788	PF02341	iPfam
PF12777	PF12780	iPfam
PF12777	PF00091	iPfam
PF12777	PF03953	iPfam
PF01251	PF00312	iPfam
PF01251	PF08069	iPfam
PF01251	PF00410	iPfam
PF00244	PF00357	iPfam
PF00244	PF00583	iPfam
PF01188	PF02746	iPfam
PF01188	PF13378	iPfam
PF10451	PF12658	iPfam
PF00354	PF13895	iPfam
PF02735	PF03730	iPfam
PF02735	PF03731	iPfam
PF08502	PF00682	iPfam
PF04262	PF13535	iPfam
PF06165	PF06205	iPfam
PF06165	PF06204	iPfam
PF02031	PF00720	iPfam
PF01037	PF13412	iPfam
PF12904	PF13204	iPfam
PF00989	PF00072	iPfam
PF00989	PF14598	iPfam
PF00590	PF13241	iPfam
PF00590	PF10414	iPfam
PF00360	PF08446	iPfam
PF03847	PF05236	iPfam
PF14543	PF00457	iPfam
PF01078	PF05362	iPfam
PF01078	PF13654	iPfam
PF04545	PF01381	iPfam
PF04545	PF04316	iPfam
PF04545	PF12973	iPfam
PF04545	PF13490	iPfam
PF01507	PF03144	iPfam
PF01507	PF00009	iPfam
PF01507	PF00085	iPfam
PF11429	PF09204	iPfam
PF06315	PF00180	iPfam
PF09392	PF09477	iPfam
PF01462	PF13855	iPfam
PF01462	PF00062	iPfam
PF00949	PF00014	iPfam
PF00949	PF01002	iPfam
PF13180	PF13365	iPfam
PF00899	PF05237	iPfam
PF00899	PF00240	iPfam
PF00899	PF02597	iPfam
PF00899	PF11976	iPfam
PF00899	PF03987	iPfam
PF00899	PF02991	iPfam
PF00899	PF08825	iPfam
PF00899	PF00179	iPfam
PF00899	PF02134	iPfam
PF08541	PF08545	iPfam
PF00329	PF01058	iPfam
PF00329	PF01257	iPfam
PF00329	PF11432	iPfam
PF04945	PF06234	iPfam
PF04945	PF04663	iPfam
PF00171	PF01619	iPfam
PF01912	PF01246	iPfam
PF01912	PF00238	iPfam
PF01409	PF03484	iPfam
PF01409	PF03147	iPfam
PF01409	PF03483	iPfam
PF02933	PF00789	iPfam
PF02933	PF02359	iPfam
PF04072	PF00149	iPfam
PF05115	PF03742	iPfam
PF05115	PF08041	iPfam
PF06204	PF06205	iPfam
PF04386	PF03872	iPfam
PF00349	PF03727	iPfam
PF02832	PF07686	iPfam
PF02832	PF00869	iPfam
PF00227	PF10584	iPfam
PF00227	PF10450	iPfam
PF00227	PF11919	iPfam
PF00227	PF07724	iPfam
PF00227	PF12465	iPfam
PF00227	PF13429	iPfam
PF00227	PF10431	iPfam
PF00019	PF00688	iPfam
PF00019	PF05806	iPfam
PF00019	PF00050	iPfam
PF00019	PF07648	iPfam
PF00019	PF08917	iPfam
PF00940	PF14700	iPfam
PF00940	PF01510	iPfam
PF02291	PF09415	iPfam
PF02291	PF02969	iPfam
PF00621	PF00130	iPfam
PF09363	PF09364	iPfam
PF01842	PF00800	iPfam
PF01842	PF00551	iPfam
PF01842	PF13840	iPfam
PF00754	PF00431	iPfam
PF00754	PF09458	iPfam
PF14791	PF02811	iPfam
PF13589	PF04969	iPfam
PF13589	PF04968	iPfam
PF03153	PF02751	iPfam
PF03153	PF02268	iPfam
PF02229	PF12149	iPfam
PF06375	PF13774	iPfam
PF00827	PF00347	iPfam
PF00827	PF00252	iPfam
PF00827	PF01248	iPfam
PF00827	PF00935	iPfam
PF00827	PF00297	iPfam
PF00827	PF01199	iPfam
PF07746	PF02900	iPfam
PF00026	PF07686	iPfam
PF00026	PF10466	iPfam
PF00026	PF07966	iPfam
PF00026	PF00018	iPfam
PF00026	PF00079	iPfam
PF00026	PF06394	iPfam
PF00610	PF00400	iPfam
PF04729	PF09453	iPfam
PF04729	PF00125	iPfam
PF13187	PF02531	iPfam
PF13187	PF02427	iPfam
PF13187	PF00033	iPfam
PF03720	PF03721	iPfam
PF00434	PF00426	iPfam
PF00654	PF07686	iPfam
PF01687	PF06574	iPfam
PF00001	PF10413	iPfam
PF00001	PF00959	iPfam
PF01368	PF07085	iPfam
PF01368	PF02833	iPfam
PF01269	PF01798	iPfam
PF01269	PF01248	iPfam
PF01759	PF00092	iPfam
PF01759	PF00084	iPfam
PF02561	PF00700	iPfam
PF00617	PF12026	iPfam
PF01563	PF00943	iPfam
PF05405	PF05873	iPfam
PF05405	PF05511	iPfam
PF02507	PF08078	iPfam
PF02507	PF01701	iPfam
PF04563	PF04539	iPfam
PF04563	PF03979	iPfam
PF04563	PF00382	iPfam
PF04563	PF00140	iPfam
PF04563	PF03449	iPfam
PF04563	PF02559	iPfam
PF04563	PF04561	iPfam
PF04563	PF02150	iPfam
PF04563	PF04997	iPfam
PF04563	PF03604	iPfam
PF04563	PF01096	iPfam
PF14438	PF14894	iPfam
PF01799	PF00941	iPfam
PF01799	PF03450	iPfam
PF00675	PF03494	iPfam
PF00675	PF00214	iPfam
PF00675	PF02921	iPfam
PF00675	PF09165	iPfam
PF00675	PF00049	iPfam
PF00675	PF02271	iPfam
PF00675	PF00048	iPfam
PF00675	PF02939	iPfam
PF00675	PF00123	iPfam
PF00271	PF09405	iPfam
PF00271	PF02151	iPfam
PF00271	PF07817	iPfam
PF00271	PF00344	iPfam
PF00271	PF09770	iPfam
PF00271	PF07516	iPfam
PF00271	PF02854	iPfam
PF00271	PF02792	iPfam
PF00271	PF07652	iPfam
PF00271	PF02847	iPfam
PF00271	PF08084	iPfam
PF00271	PF13008	iPfam
PF00271	PF09532	iPfam
PF01853	PF15275	iPfam
PF00074	PF07686	iPfam
PF00074	PF12799	iPfam
PF00074	PF13516	iPfam
PF05856	PF04699	iPfam
PF01283	PF01200	iPfam
PF01283	PF00177	iPfam
PF01283	PF01249	iPfam
PF01283	PF08069	iPfam
PF00248	PF02214	iPfam
PF03893	PF01764	iPfam
PF09034	PF00917	iPfam
PF00421	PF14495	iPfam
PF00421	PF00034	iPfam
PF00421	PF00283	iPfam
PF00421	PF01788	iPfam
PF00421	PF06596	iPfam
PF00421	PF01737	iPfam
PF00421	PF05969	iPfam
PF00421	PF00737	iPfam
PF00421	PF05151	iPfam
PF00421	PF06514	iPfam
PF00814	PF09341	iPfam
PF00814	PF00069	iPfam
PF03678	PF01310	iPfam
PF03678	PF01686	iPfam
PF03678	PF03955	iPfam
PF00575	PF10150	iPfam
PF00575	PF03870	iPfam
PF00575	PF00069	iPfam
PF01028	PF14370	iPfam
PF13377	PF00381	iPfam
PF09213	PF00048	iPfam
PF03719	PF00410	iPfam
PF00503	PF00001	iPfam
PF00503	PF00621	iPfam
PF00503	PF08703	iPfam
PF00503	PF09128	iPfam
PF00503	PF00387	iPfam
PF00503	PF04868	iPfam
PF00503	PF09279	iPfam
PF00503	PF00615	iPfam
PF00503	PF02188	iPfam
PF00503	PF00400	iPfam
PF01415	PF00041	iPfam
PF00091	PF00836	iPfam
PF00091	PF12796	iPfam
PF00091	PF03607	iPfam
PF00091	PF00085	iPfam
PF00091	PF12327	iPfam
PF00091	PF00307	iPfam
PF00514	PF08833	iPfam
PF00514	PF05972	iPfam
PF00514	PF01056	iPfam
PF00514	PF01749	iPfam
PF00514	PF08506	iPfam
PF00514	PF03730	iPfam
PF00514	PF11538	iPfam
PF00514	PF06384	iPfam
PF00514	PF00105	iPfam
PF00514	PF08347	iPfam
PF00514	PF00604	iPfam
PF00514	PF00104	iPfam
PF00514	PF08911	iPfam
PF00514	PF01279	iPfam
PF00514	PF03066	iPfam
PF00514	PF01049	iPfam
PF00514	PF13927	iPfam
PF00514	PF05923	iPfam
PF00956	PF08214	iPfam
PF00517	PF07686	iPfam
PF10391	PF14792	iPfam
PF10391	PF14791	iPfam
PF00261	PF11418	iPfam
PF00261	PF00063	iPfam
PF00261	PF00992	iPfam
PF04253	PF00405	iPfam
PF00128	PF00197	iPfam
PF00128	PF09087	iPfam
PF00128	PF00234	iPfam
PF00128	PF11941	iPfam
PF00128	PF07821	iPfam
PF00128	PF01356	iPfam
PF00128	PF02903	iPfam
PF00128	PF11896	iPfam
PF00128	PF09260	iPfam
PF00128	PF00139	iPfam
PF00128	PF10438	iPfam
PF02452	PF04014	iPfam
PF05833	PF09239	iPfam
PF01117	PF03440	iPfam
PF05496	PF13177	iPfam
